t_max,y_ball,y_line,t_pretrial,t_windup,t_feedback,timing_tol,t_prep,ball_color,block_key,choice,t_choice,correct_choice,good_timing,id,datetime,block
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4568618000000356,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5497277999999938,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5308189999999741,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.46833979999998976,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4862493999999856,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5146185999999716,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.6048571000000266,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.43736660000004124,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.583743800000002,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.49307669999998327,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5275809999999638,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.49314769999997454,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5575422999999887,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.42261160000000475,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4255293999999822,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5184210000000121,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5692680000000451,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5208430000000362,1,1,116,191121_162108,1
